Machine Name,Device Name,Description,Device Type,Connected,Safe To Unplug,Disabled,USB Hub,Drive Letter,Serial Number,Created Date,Last Plug/Unplug Date,VendorID,ProductID,Firmware Revision,USB Class,USB SubClass,USB Protocol,Hub / Port,Computer Name,Vendor Name,Product Name,ParentId Prefix,Service Name,Service Description,Driver Filename,Device Class,Device Mfg,Power,USB Version,Driver Description,Driver Version,Instance ID
PEPWUD25364,Android Phone,HTC Android Phone USB Device,Mass Storage,No,No,No,No,H:,HT19NS206821,9/16/2014 7:25:27 PM,9/16/2014 7:25:31 PM,0bb4,0,2.28,8,6,50,,,HTC (High Tech Computer Corp.),,7&4786b21&0,USBSTOR,USB Mass Storage Driver,USBSTOR.SYS,USB,Compatible USB storage device,,,USB Mass Storage Device,5.1.2600.0,USB\Vid_0bb4&Pid_0e73\HT19NS206821
PEPWUD25364,DataTraveler 2.0,Kingston DataTraveler 2.0 USB Device,Mass Storage,No,No,No,No,,0014780EC5FFC8C1955903B9,2/10/2011 5:37:59 PM,2/10/2011 5:54:17 PM,930,6544,1,8,6,50,,,Toshiba Corp.,Kingston DataTraveler 2.0 Stick (2GB),7&1b1ee864&0,USBSTOR,USB Mass Storage Driver,USBSTOR.SYS,USB,Compatible USB storage device,,,USB Mass Storage Device,5.1.2600.0,USB\Vid_0930&Pid_6544\0014780EC5FFC8C1955903B9
PEPWUD25364,DataTraveler SE9,Kingston DataTraveler SE9 USB Device,Mass Storage,No,No,No,No,,00D0C9CCDF16EBC0C0000A9A,5/7/2013 2:25:38 PM,5/9/2013 9:43:04 AM,930,6545,1,8,6,50,,,Toshiba Corp.,Kingston DataTraveler 102 Flash Drive / HEMA Flash Drive 2 GB / PNY Attache 4GB Stick,7&23a9d5ab&0,USBSTOR,USB Mass Storage Driver,USBSTOR.SYS,USB,Compatible USB storage device,,,USB Mass Storage Device,5.1.2600.0,USB\Vid_0930&Pid_6545\00D0C9CCDF16EBC0C0000A9A
PEPWUD25364,DELL USB Keyboard,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,1/5/2011 9:14:31 AM,1/5/2011 12:03:57 PM,413c,2003,1,3,1,1,,,Dell Computer Corp.,Keyboard,7&2458bbac&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_413c&Pid_2003&MI_00\6&28181e60&0&0000
PEPWUD25364,DELL USB Keyboard,USB Composite Device,Unknown,No,Yes,No,No,,,1/5/2011 9:14:31 AM,1/5/2011 12:03:57 PM,413c,2003,1,0,0,0,"Hub 1, Port 1",,Dell Computer Corp.,Keyboard,6&28181e60&0,usbccgp,Microsoft USB Generic Parent Driver,usbccgp.sys,USB,(Standard USB Host Controller),,,USB Composite Device,5.1.2600.0,USB\Vid_413c&Pid_2003\5&2d64abf2&0&1
PEPWUD25364,DELL USB Keyboard,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,7/29/2011 9:23:20 AM,7/29/2011 9:23:25 AM,413c,2005,1.05,3,1,1,"Hub 1, Port 2",,Dell Computer Corp.,RT7D50 Keyboard,6&3ac31eb9&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_413c&Pid_2005\5&2d64abf2&0&2
PEPWUD25364,DELL USB Keyboard,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,1/5/2011 9:14:31 AM,1/5/2011 12:03:57 PM,413c,2003,1,3,0,0,,,Dell Computer Corp.,Keyboard,7&c952f67&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_413c&Pid_2003&MI_01\6&28181e60&0&0001
PEPWUD25364,Dell USB Keyboard,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,2/3/2011 10:22:00 AM,2/3/2011 10:39:57 AM,413c,2105,3.5,3,1,1,"Hub 3, Port 1",,Dell Computer Corp.,Model L100 Keyboard,6&844e7d2&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_413c&Pid_2105\5&2d7e750b&0&1
PEPWUD25364,DELL USB Keyboard,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,1/12/2012 12:15:27 PM,1/13/2012 12:00:07 AM,413c,2005,1.05,3,1,1,"Hub 0, Port 2",,Dell Computer Corp.,RT7D50 Keyboard,6&4eacf64&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_413c&Pid_2005\5&131b0a18&0&2
PEPWUD25364,Dell USB Mouse,USB Human Interface Device,HID (Human Interface Device),No,Yes,No,No,,,2/3/2011 10:22:04 AM,2/3/2011 10:39:57 AM,413c,3200,29.1,3,1,2,"Hub 3, Port 2",,Dell Computer Corp.,Mouse,6&3a38bfe8&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Human Interface Device,5.1.2600.5512,USB\Vid_413c&Pid_3200\5&2d7e750b&0&2
